2024-06-25 23:50:56.745 | INFO     | src.utils.logger:info:25 - 执行函数：get
2024-06-25 23:51:00.072 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//div[@class="collapse-btn"]'),)
2024-06-25 23:51:00.090 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.090 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:00.090 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//span[text()="轮播图管理"]'),)
2024-06-25 23:51:00.107 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.157 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:00.158 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[text()="新增Banner"]'),)
2024-06-25 23:51:00.203 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.203 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:00.203 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[4]/div/div[2]/form/div[1]/div/div/input'), '6657测试58476')
2024-06-25 23:51:00.204 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:00.204 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[4]/div/div[2]/form/div[1]/div/div/input'),)
2024-06-25 23:51:00.217 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.252 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.253 | INFO     | src.utils.logger:info:25 - 执行函数：execute_script
2024-06-25 23:51:00.253 | INFO     | src.utils.logger:info:25 - 执行参数：('document.querySelector(".el-upload__input").style.display="block"',)
2024-06-25 23:51:00.256 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.257 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:00.257 | INFO     | src.utils.logger:info:25 - 执行参数：(('name', 'file'), 'H:\\py_home\\pythonProject\\自动化框架\\taskWebRunner/data/img/cute.png')
2024-06-25 23:51:00.257 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:00.257 | INFO     | src.utils.logger:info:25 - 执行参数：(('name', 'file'),)
2024-06-25 23:51:00.272 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.283 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.284 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:00.284 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[4]/div/div[2]/form/div[4]/div/div/input'), 'https://www.douyu.com/6657')
2024-06-25 23:51:00.284 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:00.284 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[4]/div/div[2]/form/div[4]/div/div/input'),)
2024-06-25 23:51:00.300 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.426 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:00.426 | INFO     | src.utils.logger:info:25 - 执行函数：force_to_wait
2024-06-25 23:51:00.427 | INFO     | src.utils.logger:info:25 - 执行参数：(3,)
2024-06-25 23:51:03.427 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:03.428 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:03.428 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[4]/div/div[3]/span/button[2]'),)
2024-06-25 23:51:03.449 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:03.450 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:03.450 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="标题"]'), '6657测试58476')
2024-06-25 23:51:03.451 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:03.451 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="标题"]'),)
2024-06-25 23:51:03.466 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:03.498 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:03.499 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:03.499 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[text()="搜索"]'),)
2024-06-25 23:51:03.893 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:03.894 | INFO     | src.utils.logger:info:25 - 执行函数：force_to_wait
2024-06-25 23:51:03.894 | INFO     | src.utils.logger:info:25 - 执行参数：(1,)
2024-06-25 23:51:04.895 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:04.895 | INFO     | src.utils.logger:info:25 - 执行函数：exist
2024-06-25 23:51:04.895 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//div[text()="6657测试58476"]'),)
2024-06-25 23:51:04.903 | INFO     | src.utils.logger:info:25 - 执行结果为：[<selenium.webdriver.remote.webelement.WebElement (session="f773efce00b418816334e76789cef744", element="f.5F06A17EC21CB2E94BCA9820F6DE3F4A.d.D144EE124C29DB0295583D533C680423.e.59")>]
2024-06-25 23:51:04.904 | INFO     | src.utils.logger:info:25 - 执行函数：force_to_wait
2024-06-25 23:51:04.904 | INFO     | src.utils.logger:info:25 - 执行参数：(3,)
2024-06-25 23:51:07.905 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:07.906 | INFO     | src.utils.logger:info:25 - 执行函数：get
2024-06-25 23:51:07.906 | INFO     | src.utils.logger:info:25 - 执行参数：('http://www.liuyanzu.tech/task/manage',)
2024-06-25 23:51:07.971 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:07.972 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:07.972 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//div[@class="collapse-btn"]'),)
2024-06-25 23:51:07.984 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:07.984 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:07.985 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//span[text()="轮播图管理"]'),)
2024-06-25 23:51:07.999 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.000 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:08.000 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="标题"]'), '6657测试58476')
2024-06-25 23:51:08.000 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:08.001 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//input[@class="el-input__inner" and @placeholder="标题"]'),)
2024-06-25 23:51:08.523 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.555 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.556 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:08.556 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[text()="搜索"]'),)
2024-06-25 23:51:08.574 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.575 | INFO     | src.utils.logger:info:25 - 执行函数：click
2024-06-25 23:51:08.575 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//div[text()="6657测试58476"]/../../td[6]/div/button[1]'),)
2024-06-25 23:51:08.598 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.598 | INFO     | src.utils.logger:info:25 - 执行函数：send_keys
2024-06-25 23:51:08.599 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[3]/div/div[2]/form/div[1]/div/div/input'), '6657测试5847602')
2024-06-25 23:51:08.599 | INFO     | src.utils.logger:info:25 - 执行函数：clear
2024-06-25 23:51:08.599 | INFO     | src.utils.logger:info:25 - 执行参数：(('xpath', '//*[@id="app"]/div/div[3]/div[2]/div/div[3]/div/div[2]/form/div[1]/div/div/input'),)
2024-06-25 23:51:08.613 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.649 | INFO     | src.utils.logger:info:25 - 执行结果为：None
2024-06-25 23:51:08.650 | INFO     | src.utils.logger:info:25 - 执行函数：force_to_wait
2024-06-25 23:51:08.650 | INFO     | src.utils.logger:info:25 - 执行参数：(1,)
2024-06-25 23:51:09.645 | INFO     | src.utils.logger:info:25 - 执行函数：force_to_wait
2024-06-25 23:51:09.646 | INFO     | src.utils.logger:info:25 - 执行参数：(3,)
